CABra ID,ANA ID,dist_urban,cover_urban,cover_crops,res_number,res_area,res_volume,res_regulation,water_demand,hdisturb_index
1,13880000,11,0.048,0.032,65,0,0.02,0,0,0
2,14110000,63,0.002,0.003,0,0,0,0,0,0
3,14230000,8,0.001,0,0,0,0,0,0,0
4,14250000,8,0.002,0.002,0,0,0,0,0,0
5,14260000,1,0.011,0.066,0,0,0,0,0,0
6,14280001,2,0.01,0.06,0,0,0,0,0,0
7,14300000,3,0.003,0,0,0,0,0,0,0
8,14330000,9,0.005,0.015,0,0,0,0,0,0
9,14420000,1,0.004,0.012,0,0,0,0,0,0
10,14495000,1,0,0.015,1,0,0,0,0,0
11,14515000,1,0.002,0.058,1,0,0,0,0,0
12,14550000,5,0,0.205,0,0,0,0,0,0
13,14680001,1,0,0.007,0,0,0,0,0,0
14,14710000,1,0.073,0.36,19,0.01,0.026,0,1,0
15,15030000,1,0.056,0.2,109,0,0.049,0,0,0
16,15050000,2,0.304,1.182,47,0.18,0.021,0.01,2,0.01
17,15120001,57,0.049,1.006,167,0.03,0.021,0.01,1,0.01
18,15250000,1,0.128,1.965,477,0.01,0.076,0,0,0.01
19,15320002,1,0.101,1.325,478,0,0.078,0,0,0.01
20,15430000,93,0.09,0.076,9,0.4,0.133,0.02,2,0.01
21,15431000,12,0.01,0.435,1,0.13,0.001,0,2,0
22,15432000,4,0.012,0.071,1,0,0,0,2,0
23,15550000,13,0.203,0.267,13,0.08,0.013,0,2,0
24,15558000,1,0.039,1.814,7,0.14,0.031,0,1,0.01
25,15560000,5,0.398,1.118,22,0.27,0.517,0.02,3,0.01
26,15580000,1,0.283,0.69,43,0.16,0.523,0.01,2,0.01
27,15630000,1,0.116,1.182,575,0.11,9.319,0.01,0,0.01
28,15700000,1,0.111,1.124,576,0.11,9.319,0.01,0,0.01
29,15750000,1,0.002,0.123,84,0.06,0.046,0,0,0
30,15800000,1,0.011,0.031,90,0.01,0.046,0,0,0
31,15830000,1,0.008,0.076,103,0.01,0.046,0,0,0
32,15910000,24,0.001,0,0,0,0,0,0,0
33,16700000,2,0.001,0.003,0,0,0,0,0,0
34,17050001,7,0.065,0.408,825,0.09,29.662,0.01,0,0
35,17090000,1,0,0.001,0,0,0,0,0,0
36,17093000,22,0.018,13.737,268,0.04,0.108,0,0,0.06
37,17120000,13,0.072,23.047,645,0.04,0,0,2,0.09
38,17200000,1,0.056,11.182,84,0.01,0,0,1,0.05
39,17280000,1,0.225,43.33,804,0.11,0.075,0,3,0.18
40,17340000,1,0.238,32.009,826,0.76,4.671,0.12,3,0.14
41,17345000,7,0.03,0.008,0,0,0,0,0,0
42,17350000,67,0.022,2.021,0,0,0,0,1,0.01
43,17730000,5,0.062,9.352,2306,0.14,6.399,0.02,1,0.04
44,18200000,3,0.001,0.009,0,0,0,0,0,0
45,18250000,1,0.143,0.503,0,0,0,0,1,0
