CABra ID,ANA ID,q_mean,q_1,q_5,q_95,q_99,q_lf,q_ld,q_hf,q_hd,q_hfd,q_zero,q_cv,q_lcv,q_hcv,q_elasticity,fdc_slope,baseflow_index,runoff_coef,q_annual,q_baseflow_annual,q_quickflow_annual
1,13880000,2.25,0.34,0.39,4.52,4.64,19,38,0,0,181,0,0.08,0.11,0.04,0.36,-4.42,0.81703824,0.4,820.5325443,670.406466,150.1260783
2,14110000,5.6,0.67,1.16,11.17,11.96,15,20,0,0,248,0,0.11,0.62,0.11,0.97,-1.93,0.818548211,0.63,2046.62781,1675.263532,371.3642778
3,14230000,6.69,1.24,2.12,12.42,14.16,4,9,0,0,238,0,0.08,0.46,0.09,1.08,-1.58,0.825742922,0.79,2443.673371,2017.845989,425.8273818
4,14250000,5.72,1.03,1.72,10.63,11.77,4,9,0,0,242,0,0.1,0.5,0.1,0.89,-1.68,0.837115213,0.65,2088.711738,1748.492371,340.2193665
5,14260000,5.06,0.43,1.09,9.91,11.83,14,14,0,0,243,0,0.09,0.55,0.13,0.55,-1.79,0.810750951,0.65,1848.196118,1498.426761,349.7693568
6,14280001,5.25,0.63,1.3,10.12,11.97,11,13,0,0,239,0,0.1,0.52,0.14,0.26,-1.64,0.818734491,0.67,1916.915825,1569.445103,347.470722
7,14300000,5.57,1.34,1.98,11.02,16.73,1,6,0,0,217,0,0.13,0.26,0.26,1.31,-1.4,0.803447459,0.68,2035.793716,1635.653289,400.1404272
8,14330000,5.52,1.11,1.93,9.82,11.01,3,10,0,0,236,0,0.1,0.49,0.1,1.11,-1.37,0.845258836,0.64,2016.977021,1704.867649,312.1093716
9,14420000,5.25,1.52,2.17,9.12,10.24,0,0,0,0,232,0,0.11,0.38,0.11,0.79,-1.13,0.866228363,0.63,1918.248357,1661.641134,256.607223
10,14495000,2.7,0.41,0.61,6.4,7.95,5,8,0,0,245,0,0.25,0.49,0.19,1.05,-2.08,0.814844974,0.46,976.0490422,795.3286561,180.7203861
